Income,LoanAmountRequest,CreditScore,NoofDefaults,PropertyPrice,CLA,PropertyType,PropertyAge,LSA
2478.54,30195.97,832.7,0,45299.77,225.64,2,2478.54,24156.78
4141.15,85927.28,688.21,0,160151.78,217.19,2,2474.33,60149.1
2474.33,17503,855.97,1,32580.57,144.82,2,2474.33,14002.4
1220.16,35595.86,706.08,0,41948.44,153.25,4,1220.16,24917.1
1671.02,91850.54,834.62,0,144087.09,438.64,1,1671.02,0
1974.82,43299.94,651.45,0,58269.09,264.58,2,1974.82,0
5302.28,186715.38,748.38,0,270558.3,527.81,3,5302.28,121365
2368.34,18386.57,672.32,0,27966.91,219.7,3,2368.34,11951.27
2067.66,39290.22,630.73,0,70132.42,193.27,2,2067.66,0
7885.56,121963.5,721.18,1,142645.25,587.8,1,7885.56,85374.45
4096.07,65332.24,707.3,0,122411.52,334.81,4,4096.07,42465.96
5330.72,133531.81,861.21,1,170214.99,535.77,2,5330.72,100148.86
2680.38,85145.49,855.18,0,104278,618.52,2,2680.38,68116.39
3384.91,40679.95,799.57,1,54618.45,340.44,4,3384.91,32543.96
1694.53,41837.3,747.21,1,75416.35,286.68,1,1694.53,27194.25
1960.17,123034.46,715.43,0,169416.28,684.16,2,1960.17,0
1871.92,55863.31,797.47,0,102110.07,318.76,4,1871.92,44690.65
1761.15,75574.36,755.48,0,84102.27,355.11,2,1761.15,56680.77
2478.3,171270.39,733.67,0,300043.91,560.47,1,2478.3,111325.75
1871.92,155502.39,855.39,1,228079.45,502.13,2,1282.74,116626.79
1282.74,71476.86,775.55,0,85170.57,334.91,1,1282.74,57181.49
1822.63,47012.15,757.22,0,84534.32,238.11,1,1822.63,35259.11
3104,159180.09,842.99,0,278885.16,669.51,4,3104,119385.07
1984.32,90857.67,775.57,0,119869.89,479.49,2,1984.32,0
1822.63,46240.13,644.64,0,63760.17,226.65,3,3031.97,0
3031.97,33085.85,833.33,0,37567.92,336.9,4,3031.97,0
1984.32,99992.27,745.91,0,145120.22,702.57,2,5445.6,64994.98
5445.6,58236.85,718.89,0,72025.12,435.07,2,5445.6,40765.8
3175.91,185900.53,681.16,1,210100.47,699.92,2,3175.91,130130.37
4068.02,116442.26,831.88,0,192340.59,841.91,3,4068.02,0
1633.88,48546.56,774.67,0,84149.5,238.55,2,1633.88,33982.59
1224.99,84606.2,705.62,0,136029.3,427.1,1,1224.99,59224.34
1993.49,97298.45,801.23,0,157137.04,275.74,1,1993.49,68108.91
1633.88,43232.4,725.78,0,70538.77,203.58,3,1047.12,28101.06
1047.12,40742.95,821.87,0,56784.27,169.31,1,1047.12,30557.21
1972,97666.72,796.03,0,116536.87,356.08,3,1972,68366.7
5021.9,136882.85,643.89,1,226130.72,699.72,3,5021.9,0
3865.02,217597.12,797.55,1,263176.92,658.92,4,3865.02,163197.84
1972,27469.27,812.36,0,50068.09,138.28,2,1318.47,21975.42
1318.47,30191.08,766.81,0,36230.17,114.06,1,1318.47,0
1794.1,33807.36,723.8,0,51738.76,240.32,1,2814.48,21974.78
2814.48,100346.63,742.45,0,132302.29,427.31,1,2814.48,65225.31
1580.38,66041.19,717.92,0,100265.3,325.89,2,1580.38,46228.83
2700.12,24890.1,757.67,0,32954.34,141.45,1,2700.12,18667.57
2814.48,61445.67,710.12,0,116623.96,316.61,4,2476.71,43011.97
2476.71,79928.84,678,0,100315.66,336.88,4,2476.71,51953.75
2239.14,46755.67,676.78,0,57625.06,237.28,1,2239.14,0
2760.03,64516.08,682.6,1,117010.73,322.2,3,2760.03,41935.45
1519.67,45103.02,854.18,0,75013.84,450.18,2,1519.67,31572.11
2590.89,32607.06,801.62,0,60126.46,293,2,2590.89,26085.65
1589.8,42465.29,729.66,1,68719.99,294.29,3,1589.8,29725.7
3967.09,175654.45,718.28,1,198852.89,730.28,2,3967.09,114175.39
1179.18,30385.6,756.24,0,39087.37,251.72,4,1179.18,0
2178.86,60176.63,813.17,0,82905.84,282.93,1,2178.86,45132.47
1332.42,60017.87,728.29,0,99319.12,475.42,1,1332.42,42012.51
2966.6,152200.62,766.19,0,171476.96,736.35,3,2966.6,0
3516.53,111662.86,822.91,0,149145.97,670.31,4,3516.53,89330.29
1332.42,258359.02,791.54,0,437535.71,938.59,2,3477.95,193769.26
3477.95,44490.31,747.66,0,60639.31,243.35,4,3477.95,0
1206.34,19195.88,669.13,0,32233.86,97.75,4,1206.34,12477.32
1891.2,114434.1,725.78,0,217245.44,360.1,4,1891.2,0
2000.87,124714.96,675.33,0,170138.05,631.2,4,2000.87,87300.47
2351.33,53358.88,657.77,1,-999,272.46,1,2351.33,34683.27
1729.9,132530.58,630.55,0,157052.24,439.49,2,1729.9,0
979.49,24728.19,710.2,0,33750.19,137.78,1,979.49,16073.32
6060.9,102169.74,851.94,1,139187.56,738.55,3,6060.9,86844.28
1729.9,30911.17,766.81,0,41720.56,152.44,4,1532,21637.82
979.49,76049.06,760.05,0,89983.16,341.29,1,1532,60839.25
1532,33819.92,682.04,0,49033.5,170.24,4,1532,21982.95
1844.18,155880.45,700.26,0,229559.35,726.98,4,1844.18,0
1894.11,36501.56,854.27,1,53826.78,219.55,1,1894.11,25551.09
6446.85,37067.92,717.87,0,62892.32,197.19,1,6446.85,24094.15
3537.39,27863.43,687.21,0,49483.82,127.96,1,3537.39,19504.4
1356.3,90572.18,781.35,0,139890.25,327.39,4,1356.3,72457.74
1565.69,20284.94,660.75,1,37516.71,179.39,4,1565.69,13185.21
3537.39,38189.42,658.54,0,66887,133.77,4,1028.41,24823.12
1028.41,6840.47,770.26,0,9440.89,66.86,4,1028.41,5130.35
2019.52,31003.62,632.51,0,48389.84,249.76,2,2019.52,0
3537.39,58353.58,670.61,0,80524.3,474.24,1,3214.48,36474.43
3214.48,107040.92,681.92,0,161283.95,589.89,4,3214.48,69576.6
1712.51,44232.77,630.48,0,76206.18,213.61,1,1712.51,0
3537.39,200074.37,733.89,1,364087.25,562.02,1,3370.31,130048.34
3214.48,139265.98,704.75,0,221176.16,388.1,3,3370.31,90522.89
3370.31,107191.77,742.99,1,153306.01,896.93,1,3370.31,0
2573.03,136992.15,701.49,1,251217.1,395.22,2,2573.03,22842.29
1545.57,159560.45,707.22,0,279036.8,498.49,4,1545.57,103714.29
1040.76,7312.83,664.4,0,8496.3,81.78,3,1040.76,0
4493.53,62366.83,797.71,0,113945.92,283.94,3,4493.53,49893.46
2139.98,24656.28,852.17,0,31258.86,124.14,4,2139.98,19725.02
1040.76,97031.52,781.72,0,169263.91,308.86,2,1274.01,72773.64
1274.01,51251.75,632.1,1,70784.92,241.86,2,1274.01,0
1919.85,31362.64,756.17,1,52756.02,260.79,1,1919.85,21953.85
1273.04,38205.43,798.66,1,64949.87,205.4,2,1273.04,28654.07
3418.19,59458.51,809.85,0,92549.63,358.26,3,3418.19,41620.96
4752.31,92444.56,723.27,0,102105.1,447.98,1,4752.31,64711.19
2918.66,67945.04,682.04,0,113957.08,361.46,3,2918.66,47561.53
2461.58,49549.37,649.78,0,69007.01,354.87,2,2461.58,0
4752.31,74577.6,718.98,0,106610.08,381.31,1,1598,52204.32
1598,63966.4,701.88,0,97947,343.75,3,1598,0
2100.78,210569.27,699.5,0,391691.7,537.7,1,2100.78,147398.49
1660.34,49598.48,763.17,0,59389.33,265.6,3,1660.34,39678.78
2877.12,169359.86,670.89,1,265433.18,1162.36,2,2877.12,118551.9
2100.78,53106.96,658.54,0,64680.13,162.12,2,3131.48,34519.52
1660.34,79909.09,773.58,1,123005.34,397.51,2,3131.48,59931.82
3131.48,102536.42,669.4,1,150194.71,557.03,2,3131.48,71775.49
3496.45,136037.97,831.56,0,237410.99,604.69,1,3496.45,95226.58
1660.34,79442.15,684.07,0,138667.33,381.79,3,967.86,55609.5
967.86,47048.96,671.05,0,52018.51,240.63,2,967.86,32934.27
1491.84,98757.66,761.02,0,133896.96,296.19,3,1491.84,69130.36
2182.76,138081.27,717.7,0,210008.23,552.45,4,2182.76,89752.83
2867.54,88735.89,807.11,0,133217.88,313.55,2,2867.54,0
2462.09,262719.4,798.13,0,336636.4,702.81,4,2462.09,183903.58
2356.9,141950.43,707.22,0,257724.9,371.69,4,2356.9,92267.78
6161.03,41219.31,644.13,1,62932.33,199.82,2,6161.03,0
2462.09,42747.02,765.5,0,63815.66,223.99,1,2276.44,34197.62
2276.44,59606.76,846.2,0,66854.51,290.99,4,2276.44,-999
6014.8,137881.43,758.89,0,201934.97,704.56,4,6014.8,96517
2990.52,27568.48,657.53,1,48938.58,211.08,1,2990.52,0
2836.78,123359.81,683.77,1,188339.8,608.46,2,2836.78,80183.88
967.1,77009.45,764.3,0,87972.1,403.1,1,967.1,0
2142.63,47814.96,847.83,1,83481.6,261.43,1,2142.63,35861.22
1239.81,28781.77,745.39,0,34640.81,197.86,1,1239.81,18708.15
967.1,145343.2,841.12,1,256615.01,927.59,3,3048.84,101740.24
2142.63,23807.1,682.32,0,43868.75,123.46,1,3048.84,15474.62
3048.84,86281.74,779.09,0,133711.7,635.82,2,3048.84,60397.22
1256.46,87663,760.06,0,149690.69,501.31,3,1256.46,61364.1
1804.62,138931.88,782.31,0,156867.8,488.59,1,1804.62,111145.5
3637.7,23811.63,811.11,0,40867.64,162.44,3,3637.7,19049.3
1146.99,26279.47,610.31,0,44808.44,132.24,2,1146.99,0
4338.52,106168.08,658.54,0,164951.03,327.38,2,4338.52,74317.66
3181.79,56230.74,603.11,1,64656.86,378.54,2,3181.79,0
2532.51,6189.5,728.51,0,8406.79,34.04,1,2532.51,4023.18
2334.17,174980.55,689.17,0,322776.3,639.42,4,2334.17,113737.36
5023.72,102610.53,792.47,0,148807.35,762.16,3,5023.72,76957.9
2021.12,281022.99,677.18,0,519776.2,947.45,4,2021.12,0
2021.96,114273.33,720.3,0,185723.98,375.55,1,2021.96,79991.33
3404.88,35677.5,851.44,1,49569.03,358.57,2,3404.88,35677.5
3268.08,113861.07,738.18,0,171731.49,480.68,4,3268.08,79702.75
1637.51,75095.84,815.75,1,114087.85,417.84,4,1637.51,60076.67
5445.6,81490.74,722.17,0,132436.48,1118.79,1,5445.6,57043.52
3268.08,99316.11,707.82,0,133883.38,367.34,4,2470.74,64555.47
2470.74,105866.95,651.64,0,146419.13,834.14,4,2470.74,74106.86
5445.6,114392.28,708.88,1,211999.08,376.31,4,2137.01,74354.98
2137.01,201716.39,804.32,0,233893.63,498.39,3,2137.01,141201.47
2435.91,60339,725.33,0,72861.07,206.84,3,2435.91,0
1893.91,113175,825.06,0,167022.14,383.49,4,1893.91,84881.25
2755.69,39048.36,650.09,0,67755.7,332.61,1,2755.69,25381.43
2562.95,27599.48,634.94,0,31176.34,144.97,2,2562.95,0
1893.91,124136.37,665.98,0,142154.35,324.74,1,3466.88,86895.46
2755.69,112900.61,801.33,0,189468.38,542.32,2,3466.88,90320.49
3466.88,161020.8,788.67,0,194231.61,700.37,2,3466.88,128816.64
3462.78,91715.54,873.28,0,110304.39,271.26,1,3462.78,68786.66
1631.16,53926.02,652.46,0,93484.83,159.06,2,1631.16,35051.91
1970.12,45332.69,655.33,0,68462.61,295.74,4,1970.12,31732.88
911.24,31484.72,851.02,0,57401.5,176.33,2,911.24,23613.54
1857.54,82812.81,640.74,1,111218.06,373.03,4,1857.54,0
1098.18,77512.02,668.87,0,129330.82,346.47,3,1098.18,50382.81
1385.55,39445.27,746.84,0,65250.01,233.36,4,1385.55,0
4244.06,89707.55,721.5,0,161982.05,471.27,2,4244.06,62795.28
2662.74,126470.1,774.11,0,205775.77,407.09,1,2662.74,94852.58
2940.62,37359.33,842.73,0,58296.16,191.58,2,2940.62,29887.46
1208.54,34278.64,694.28,0,57338.99,199.7,2,1208.54,0
1935.49,109313.69,650.39,0,143224.2,459.13,1,1935.49,76519.58
4252.56,155846.86,824.43,0,199451.96,465.13,2,4252.56,109092.8
824,28762.4,770.16,1,54258.63,173.77,2,824,23009.92
1497.23,30847.01,594.84,0,56421.47,148.33,1,1497.23,0
2534.74,130784.86,791.81,0,169766.07,632.41,3,2534.74,98088.64
3089.34,81979.03,652.28,0,101688.7,395.75,1,3089.34,53286.37
1497.23,67406.4,713.59,0,98777.13,339.62,4,8556.16,43814.16
8556.16,278598.47,804.33,1,485963.49,891.23,2,8556.16,0
997.39,26045.14,804.32,0,46802.31,137.21,3,997.39,19533.86
3320.45,93722.31,805.44,1,134052.11,320.44,3,3320.45,65605.62
1272.64,27915.27,673.66,0,39834.37,132.96,4,1272.64,19540.69
997.39,31073.48,658.98,1,39487.19,214.31,1,2030.99,20197.76
3320.45,24805.62,675.64,0,44287.49,125.15,4,2030.99,17363.93
2030.99,26802.03,688.22,0,36179.99,138.45,1,2030.99,17421.32
993.21,26814.58,679.23,0,36037.73,126.58,2,993.21,0
10522.61,74659.88,784.69,1,95932.16,372.09,3,10522.61,0
3492.47,94213.04,639.03,0,172745.34,360.24,4,3492.47,0
2289.23,87458.42,615.21,0,129017.76,218.35,1,2289.23,0
2898.53,37650.79,784.91,0,42259.04,230.72,2,2898.53,26355.55
3647.48,92025.17,758.65,0,119475.01,271.1,2,3647.48,69018.88
1622.56,111344.39,753.71,1,193871.13,339.39,4,1622.56,0
2898.53,61649.37,768.21,0,91110.67,500.62,4,1815.74,43154.56
1815.74,96950.29,746.84,0,107850.7,478.46,3,1815.74,77560.23
5939.78,290858.74,870.22,0,491475.67,856.03,2,5939.78,218144.06
2915.93,68159.89,774.11,0,75697.92,451.18,3,2915.93,47711.92
5219.66,94710.9,725.63,0,154216.44,508.81,3,5219.66,66297.63
1535.99,37827.74,797.94,0,60495.08,326.07,1,1535.99,0
1689.23,21300.04,683.05,0,28328.25,165.04,1,1689.23,14910.03
3019.18,125147.71,775.64,0,164740.36,932.19,2,3019.18,100118.17
1453.12,105949.51,842.11,0,122595.15,380.41,4,1453.12,0
1203.13,77519.11,680.74,0,118091.86,389.48,3,1203.13,0
2642.24,42274.06,734.85,0,58303.74,246.13,2,2642.24,27478.14
1037.04,31349.22,639.02,0,52483.76,236.88,3,1037.04,0
3883.84,288605.16,747.4,0,328149.78,932.62,4,3883.84,0
3735.11,39214.61,791.34,0,66402.87,423.91,3,3735.11,29410.96
2684.22,218350.95,853.85,0,246482.47,565.38,1,2684.22,152845.66
1611.23,34458.6,642.77,1,65436.42,407.88,2,1611.23,0
2045.45,105075.67,896.26,0,181330.45,388.42,1,2045.45,84060.54
1688.61,75015.14,658.98,0,138895.43,333.17,2,1688.61,60012.11
1364.79,19685.95,701.57,0,26031.2,127.54,4,1364.79,13780.16
3064.33,117127.65,661.52,1,-999,337.58,1,3064.33,81989.36
1354.06,7609.23,637.12,0,11941.07,82.1,2,1354.06,0
1364.79,32645.54,608.06,0,35917.71,163.1,4,1671.81,0
1671.81,17644.97,721.97,0,23615.91,139.31,3,1671.81,11469.23
1354.06,27868.02,620.79,0,49088.98,215.19,1,3348.03,0
3348.03,25849.09,709.49,0,32998.86,138.06,4,3348.03,18094.36
2021.75,36294.77,698.25,0,64860.26,205,4,2021.75,25406.34
2809.33,47711.47,616.26,1,80649.45,233.57,2,2809.33,0
3136.81,100990.4,688.47,0,183703.74,841.52,1,3136.81,65643.76
1678.74,22212.7,746.84,0,34050.21,159.31,3,1678.74,16659.53
2809.33,52152.58,818.81,1,72118.22,248.85,2,3128.83,41722.06
3128.83,72377.75,868.29,1,123798.27,271.71,3,3128.83,57902.2
3698.25,49607.22,714.22,0,76861.49,194.92,1,3698.25,32244.69
2350.57,155415.53,837.48,0,221160.69,609.91,2,2350.57,108790.87
5635.34,86112,635.5,0,142355.58,438.06,2,5635.34,0
3019.22,282407.38,699.81,1,368376.84,971.44,1,3019.22,197685.17
3301.15,24914.25,684,0,44721.76,186.92,1,3301.15,0
2481.37,104912.22,823.43,0,187588.62,408.34,4,2481.37,83929.78
2319.59,154689.77,782.55,0,196381.76,406.76,2,2319.59,-999
3301.15,132263.08,646.05,1,250293.24,500.43,3,6170.05,0
6170.05,19640.68,739.86,1,28770.5,100.9,4,6170.05,0
2038.46,32246.88,653.3,0,36700.01,359.75,1,2038.46,0
3652.54,60290.94,798.1,0,90879.54,394.76,1,3652.54,42203.66
6170.05,176954.78,629.38,0,334995.6,753.89,4,2851.65,0
2851.65,71229.02,896.26,0,105789,286.93,2,2851.65,53421.76
1560.02,29648.91,794.38,1,35838.91,306.52,1,1560.02,20754.24
3140.7,44784.94,724.44,0,57788.41,479.22,3,3140.7,29110.21
2851.65,112213.71,814.53,0,149678.71,556.61,1,1921.55,84160.28
1560.02,19207.76,855.08,0,29691.19,66.6,2,1921.55,14405.82
1921.55,137872.66,760.25,1,228937.1,786.65,3,1921.55,96510.86
2719.89,166056.07,856.68,1,227903.42,519.55,3,2719.89,132844.86
1560.02,102657.52,835.59,0,191179.76,549.18,3,1395.23,76993.14
1921.55,44856.91,651.73,0,65079.69,500.13,4,1395.23,29156.99
1395.23,38784.96,687.54,0,70402.77,312.04,2,1395.23,27149.47
1345.33,58719.93,792.19,0,89073.93,166.69,4,1345.33,46975.94
1921.55,249733.19,845.35,0,390337.74,666.17,4,2022.57,187299.89
2022.57,66151.15,619.18,0,98420.33,398.62,3,2022.57,0
2256.9,56374.14,712.26,0,76961.51,275.59,3,2256.9,36643.19
2054.03,35372.65,694.72,0,43264.02,186.98,4,2054.03,0
1917.54,110305.49,737.47,1,170604.8,241.08,3,1917.54,71698.57
2383.88,94304.67,873.72,0,159299.82,331.76,1,2383.88,75443.74
2054.03,122484.45,708.3,0,149461.31,349.86,2,3068.1,85739.12
3068.1,140088.79,726.11,0,202394,403.45,3,3068.1,98062.15
2383.88,7666.92,684.14,0,11041.11,80.48,4,1276.51,4983.5
1276.51,28108.63,668.73,0,49175.43,129.82,3,1276.51,19676.04
2779.3,109785.62,807.39,1,180786.38,594.63,4,2779.3,82339.22
1553.34,109779.19,720.74,0,129780.73,467.07,1,1553.34,76845.43
1276.51,87514.92,791.23,0,101389.24,478.17,3,3427.23,65636.19
3427.23,64427.05,684.65,0,101056.16,723.68,2,3427.23,45098.94
3496.85,175467.92,773.79,1,301466.79,802.03,2,3496.85,122827.54
2844.55,131050.78,727.58,1,177418.52,411.94,1,2844.55,85183.01
2795.43,39346.8,783.93,0,74328.89,201.28,3,2795.43,27542.76
1676.6,30368.33,691.17,0,43019.87,175.61,2,1676.6,21257.83
4948.66,231163.16,798.95,1,413976.38,999.49,1,4948.66,184930.53
1755.05,41417.36,798.79,1,56623.09,215.93,3,1755.05,31063.02
1975.22,31672.88,668.17,0,49795.21,280.21,4,1975.22,22171.02
979.13,52872.11,683.58,0,75633.77,250.49,3,979.13,37010.48
1755.05,102012.88,669.96,1,189237.75,490.26,4,681.87,71409.02
681.87,71468.48,781.43,0,123365.57,363.55,2,681.87,23613.54
4840.19,135733.59,693.26,0,175778.88,785.69,2,4840.19,88226.83
1755.05,72849.77,690.53,0,122846.79,371.78,2,1367.78,47352.35
1367.78,62587.59,603.83,0,74475.7,277.46,2,1367.78,0
6366.33,118550.23,725.7,0,-999,465.43,3,6366.33,82985.16
936.62,86684.26,714.54,0,106848.86,336.41,3,936.62,56344.77
1236.55,202722.79,712.26,0,355511.25,620,1,1236.55,162178.23
6366.33,75834.97,831.45,0,91827.56,441.79,3,3065.86,56876.23
3065.86,235537.77,752.57,0,388202.46,647.84,4,3065.86,164876.44
1607.69,41145.84,727.72,0,59503.79,188.43,4,1607.69,26744.8
1322.23,66647.24,777.35,0,86758.51,299.25,2,1322.23,49985.43
1678.09,37662.62,727.29,0,64136.75,426.44,4,1678.09,24480.7
2659.67,77419.92,855.81,0,130140.37,269.78,2,2659.67,58064.94
2047.91,23436.12,778.05,0,43163.2,-999,1,2047.91,16405.28
2577.92,230113.44,698.65,0,406970.53,797.9,4,2577.92,161079.41
7356.57,304135.78,787.93,0,445829.27,1007.69,2,2462.42,243308.62
2047.91,46519.69,715.31,0,52888.64,274.33,3,2462.42,32563.78
2462.42,42179.89,840.04,0,64347.9,302.85,2,2462.42,31634.92
2100.74,67545.07,800.16,0,111736.29,240.26,4,1826.46,54036.06
1826.46,120926.92,727.58,0,166400.45,438.84,4,1826.46,84648.84
2462.42,136756.06,821.86,0,251012.63,628.37,1,2793.32,109404.85
2793.32,179368.02,627.38,0,306638.93,507.09,2,2793.32,0
1650.46,43949.29,727.78,0,55699.88,142.07,2,1650.46,30764.5
1341.67,24553.43,685.01,1,45527.13,141.44,2,1341.67,0
1212.06,25914.56,645.11,1,48216.93,261.83,4,1212.06,0
4506.43,94795.17,865.58,0,117839.32,1022.01,3,4506.43,66356.62
1845.49,28262.98,669.66,0,45545.62,139.95,3,1845.49,19784.09
1328.61,83898.46,698.54,1,102282.62,398.03,4,1328.61,54534
3933.38,108368.58,746.27,0,127126.27,475.68,2,3933.38,75858.01
865.41,53154.33,783.98,0,92140.79,216.29,3,865.41,42523.46
1328.61,121052.66,649.11,1,180666.86,647.7,1,2819.71,0
2819.71,81955.97,680.41,0,149134.84,311.89,2,2819.71,57369.18
1813.77,71220.19,750.06,0,134313.15,692.22,2,1813.77,47711.92
2030.25,127074.43,621.71,0,188227.44,380.73,1,2030.25,0
1587.5,77594.57,794.74,0,138424.01,254.94,2,1587.5,58195.93
1813.77,271308.47,769.28,0,344872.79,959.69,4,930.65,189915.93
930.65,147198.51,773.41,0,238443.3,431.84,2,930.65,103038.96
4100.41,226318.9,734.39,0,334190.87,587.57,4,1823.02,147107.28
1823.02,164010.97,724.22,0,271574.48,434.33,4,1823.02,0
2240.9,145378.63,646.61,1,256683.71,437.24,4,2240.9,0
2677.06,165826.3,649.1,0,227969.6,636.79,2,2677.06,0
4874.3,123114.38,656.21,0,169380.56,484.77,3,4874.3,86180.07
1388.99,67783.35,701.27,0,80305.66,529.92,1,1388.99,47448.34
2677.06,130726.73,610.43,0,147631.87,507.81,4,2787.65,0
2787.65,41759.51,781.68,0,76944.81,475.12,1,2787.65,0
1388.99,64916.81,820.76,0,75311.08,303.65,4,1002.43,51933.45
1002.43,32556.81,665.88,0,47694.56,255.85,1,1002.43,22789.77
6587.4,135821.31,793.45,1,179068.9,385.19,3,6587.4,0
1940.62,155067.52,808.19,0,291617.4,453.77,4,1940.62,0
2446.91,121564.41,811.91,0,154407.37,388.79,1,2446.91,97251.53
2293.9,19214.21,589.77,0,35172.64,122.92,4,2293.9,0
1940.62,75992.65,656,0,96359.35,408.73,2,1123.46,49395.22
1123.46,45096.67,840.45,0,83049.81,315.75,3,1123.46,36077.34
1213.99,26149.12,719.93,0,29412.59,124.67,3,1213.99,18304.38
2724.84,63199.75,630.43,0,113431.59,345.89,2,2724.84,0
2426.79,65433.69,757.72,0,108343.99,297.68,1,2426.79,49075.27
3438.9,167375.01,750.55,0,268717.92,608.43,3,3438.9,133900.01
2431.93,89063.15,726.7,0,167707.58,403.23,3,2431.93,57891.05
5191.72,37885.36,818.1,1,56507.73,365.64,2,5191.72,26519.75
2664.96,237367.68,645.89,0,323740.54,703.5,2,2664.96,0
1989.4,48613.85,709.77,0,80869.13,232.21,2,1989.4,34029.7
1311.06,50270.7,792.07,0,65886.22,301.11,4,1311.06,0
1214.93,24196.4,769.28,0,33255.09,131.93,2,1214.93,18147.3
3258.15,129111.42,858.58,0,224437.52,406.46,3,3258.15,103289.14
3411.82,127792.5,770.24,0,204980.04,360.27,3,3411.82,102234
4437.29,163023.28,665.8,0,260396.72,844.31,1,4437.29,114116.3
2383.13,97890.25,763.91,0,107731.43,465.94,1,2383.13,68523.18
1363.2,110952.73,667.3,0,209353.62,564.44,1,1363.2,72119.27
1931.42,23054.82,656.21,0,32068.05,938.59,1,1931.42,16138.37
2225.07,39229.73,625.61,1,71769.15,349.69,1,2225.07,0
1988.59,47055.94,737.59,0,66492.43,230.84,2,1988.59,32939.16
1931.42,43515.79,724.6,0,64389.7,209.42,3,3380.68,28285.26
3380.68,204714.63,815.51,0,253568.79,527.71,4,3380.68,153535.97
1988.59,25435.12,665.62,1,34147.06,130.95,3,2413.69,17804.58
2413.69,11684.43,793.45,0,21724.26,113.71,2,2413.69,8179.1
3380.68,37786.14,691.78,0,44742.85,487.22,2,1504.03,24560.99
1504.03,41182.72,646.42,1,77974.2,160.13,3,1504.03,0
2413.69,231172.43,754.14,0,326039.53,767.44,1,2148.76,184937.94
2148.76,150107.08,754.07,0,201308.31,914.21,3,2148.76,112580.31
3294.43,54157.63,684.21,1,92281.04,457.83,2,3294.43,37910.34
5435.62,97173.35,766.83,0,169547.62,459.47,2,5435.62,72880.01
3518.28,18584.79,780.95,0,26713.92,94.3,4,3518.28,14867.83
2464.81,35945.85,803.59,0,52916.33,377.15,3,2464.81,25162.09
2551.06,127627.34,727.69,0,228791.69,365.74,1,2551.06,0
3239.38,52116.14,712.78,0,90188.79,320.02,2,3239.38,36481.3
1551.92,54905.99,693.26,0,63141.76,287.87,3,1551.92,38434.19
1849.34,115740.66,718.84,1,194181.88,447.26,4,1849.34,81018.46
4402.01,193119.02,826.54,0,251896.85,756.19,4,4402.01,0
3440.7,157399.46,808.48,0,295754.04,490.7,2,3440.7,125919.57
2803.71,40795.48,603.91,0,57889.2,468.03,1,2803.71,0
1824.3,79737.96,720.22,0,143036.49,347.62,3,1824.3,51829.67
1015.06,70395.14,620.76,0,120772.34,415.83,3,1015.06,0
5939.75,93591.83,665.8,0,131628.72,939.69,4,5939.75,0
2348.9,201283.92,816.98,0,284618.89,778.87,3,2348.9,150962.94
3323.58,159843.56,847.98,0,287005.75,447.14,2,3323.58,127874.85
2117.04,97261.42,765.52,0,129472.26,419.57,3,2117.04,0
